slot,aerolinea,vuelo,puerta_original,delay_predicho,puerta_sugerida,timestamp_simulacion
2026-08-03 20:30:00,IBE,308.0,25,5.3,-,2026-05-15 15:27:24.728403
2026-08-03 20:30:00,AMX,1457.0,80,7.9,-,2026-05-15 15:27:24.871972
2026-08-03 20:30:00,AMX,1543.0,84,3.7,-,2026-05-15 15:27:25.007960
2026-08-03 20:40:00,AMX,70.0,54,11.1,-,2026-05-15 15:27:25.141944
2026-08-03 20:45:00,VOI,430.0,17,6.6,-,2026-05-15 15:27:25.273840
2026-08-03 20:45:00,AMX,257.0,48,7.0,-,2026-05-15 15:27:25.421652
2026-08-03 20:45:00,VOI,401.0,13,13.8,-,2026-05-15 15:27:25.557419
2026-08-03 20:45:00,AMX,1419.0,89,4.3,-,2026-05-15 15:27:25.740255
2026-08-03 20:45:00,AMX,108.0,79,13.3,-,2026-05-15 15:27:25.889735
2026-08-03 20:45:00,AMX,1640.0,88,13.1,-,2026-05-15 15:27:26.055191
2026-08-03 20:50:00,UAL,1566.0,31,6.6,-,2026-05-15 15:27:26.196582
2026-08-03 20:55:00,AAL,756.0,29,6.4,-,2026-05-15 15:27:26.360982
2026-08-03 20:55:00,AFR,174.0,45,5.4,-,2026-05-15 15:27:26.533050
2026-08-03 20:55:00,AMX,258.0,71,8.0,-,2026-05-15 15:27:26.671498
2026-08-03 21:00:00,AMX,388.0,86,8.9,-,2026-05-15 15:27:26.834195
2026-08-03 21:00:00,BAW,242.0,35A,6.9,-,2026-05-15 15:27:26.988048
2026-08-03 21:00:00,AMX,2067.0,87,6.8,-,2026-05-15 15:27:27.142956
2026-08-03 21:00:00,AMX,1054.0,74,7.5,-,2026-05-15 15:27:27.319093
2026-08-03 21:00:00,AMX,148.0,77,7.6,-,2026-05-15 15:27:27.473984
2026-08-03 21:00:00,VOI,183.0,4,5.8,-,2026-05-15 15:27:27.624418
2026-08-03 21:00:00,VIV,1286.0,8,2.8,-,2026-05-15 15:27:27.784965
2026-08-03 21:00:00,AMX,198.0,73,5.1,-,2026-05-15 15:27:27.952752
2026-08-03 21:00:00,VIV,1353.0,16,9.6,-,2026-05-15 15:27:28.107258
2026-08-03 21:00:00,DLH,499.0,26,4.7,-,2026-05-15 15:27:28.275798
2026-08-03 21:05:00,AMX,357.0,72,7.6,-,2026-05-15 15:27:28.515262
2026-08-03 21:05:00,VIV,1373.0,5,4.4,-,2026-05-15 15:27:28.675587
2026-08-03 21:05:00,AMX,2606.0,72,6.5,-,2026-05-15 15:27:28.833127
2026-08-03 21:05:00,VOI,260.0,9,7.5,-,2026-05-15 15:27:28.985530
2026-08-03 21:05:00,AMX,147.0,78,8.5,-,2026-05-15 15:27:29.139415
2026-08-03 21:05:00,AMX,1418.0,84,15.5,G1,2026-05-15 15:27:29.280690
2026-08-03 21:05:00,AMX,179.0,79,10.5,-,2026-05-15 15:27:29.422774
2026-08-03 21:10:00,AMX,960.0,76,13.6,-,2026-05-15 15:27:29.559337
2026-08-03 21:10:00,VIV,1068.0,6,8.1,-,2026-05-15 15:27:29.702132
2026-08-03 21:10:00,VOI,741.0,24,6.9,-,2026-05-15 15:27:29.842438
2026-08-03 21:15:00,AMX,322.0,65,9.5,-,2026-05-15 15:27:30.006964
2026-08-03 21:15:00,AMX,866.0,82,11.3,-,2026-05-15 15:27:30.147447
2026-08-03 21:20:00,AMX,555.0,69,10.9,-,2026-05-15 15:27:30.315800
2026-08-03 21:20:00,AMX,812.0,85,11.4,-,2026-05-15 15:27:30.481182
2026-08-03 21:25:00,AMX,25.0,67,21.5,G1,2026-05-15 15:27:30.634243
2026-08-03 21:25:00,AMX,714.0,81,18.8,G1,2026-05-15 15:27:30.797004
2026-08-03 21:30:00,AMX,323.0,85,11.9,-,2026-05-15 15:27:30.951789
2026-08-03 21:30:00,AMX,955.0,71,17.9,G1,2026-05-15 15:27:31.110816
2026-08-03 21:30:00,UAL,783.0,35,10.2,-,2026-05-15 15:27:31.248878
2026-08-03 21:40:00,AMX,713.0,66,13.9,-,2026-05-15 15:27:31.389977
2026-08-03 21:45:00,AMX,1057.0,88,11.2,-,2026-05-15 15:27:31.653309
2026-08-03 21:45:00,AMX,340.0,89,9.1,-,2026-05-15 15:27:31.811438
2026-08-03 21:45:00,VIV,1248.0,16,3.7,-,2026-05-15 15:27:31.967396
2026-08-03 21:45:00,VOI,421.0,10,7.7,-,2026-05-15 15:27:32.133866
2026-08-03 21:45:00,VOI,751.0,32,11.5,-,2026-05-15 15:27:32.299696
2026-08-03 21:45:00,VOI,324.0,27,6.7,-,2026-05-15 15:27:32.503894
2026-08-03 21:50:00,AMX,1639.0,74,7.5,-,2026-05-15 15:27:32.647346
2026-08-03 21:50:00,AMX,259.0,77,12.3,-,2026-05-15 15:27:32.802269
2026-08-03 21:50:00,AMX,403.0,62,15.9,G1,2026-05-15 15:27:32.938538
2026-08-03 21:50:00,AMX,58.0,58A,12.7,-,2026-05-15 15:27:33.079510
2026-08-03 21:50:00,KLM,686.0,33A,4.4,-,2026-05-15 15:27:33.214807
2026-08-03 21:55:00,AMX,28.0,57A,5.1,-,2026-05-15 15:27:33.351110
2026-08-03 21:55:00,AMX,842.0,72,4.6,-,2026-05-15 15:27:33.493487
2026-08-03 21:55:00,VOI,3918.0,18,3.7,-,2026-05-15 15:27:33.629097
2026-08-03 22:00:00,AMX,564.0,64,8.8,-,2026-05-15 15:27:33.770712
2026-08-03 22:00:00,AMX,188.0,61,7.3,-,2026-05-15 15:27:33.935284
2026-08-03 22:00:00,AMX,264.0,63,6.5,-,2026-05-15 15:27:34.072337
2026-08-03 22:00:00,AMX,2647.0,86,3.1,-,2026-05-15 15:27:34.228406
2026-08-03 22:00:00,VOI,150.0,4,3.7,-,2026-05-15 15:27:34.391519
2026-08-03 22:00:00,VOI,186.0,13,4.4,-,2026-05-15 15:27:34.534338
2026-08-03 22:00:00,VOI,731.0,26,6.1,-,2026-05-15 15:27:34.696096
2026-08-03 22:00:00,VIV,1143.0,15,2.9,-,2026-05-15 15:27:34.850413
2026-08-03 22:05:00,VIV,1374.0,5,4.5,-,2026-05-15 15:27:35.015537
2026-08-03 22:05:00,AMX,158.0,80,2.7,-,2026-05-15 15:27:35.177809
2026-08-03 22:05:00,AMX,964.0,78,6.3,-,2026-05-15 15:27:35.317879
2026-08-03 22:05:00,CMP,188.0,28,5.8,-,2026-05-15 15:27:35.473645
2026-08-03 22:10:00,AMX,839.0,82,14.7,-,2026-05-15 15:27:35.619138
2026-08-03 22:10:00,IBE,311.0,25,3.5,-,2026-05-15 15:27:35.772600
2026-08-03 22:10:00,AMX,21.0,55A,1.0,-,2026-05-15 15:27:35.932277
2026-08-03 22:10:00,AMX,3.0,52A,5.1,-,2026-05-15 15:27:36.098133
2026-08-03 22:15:00,AMX,813.0,73,5.3,-,2026-05-15 15:27:36.295809
2026-08-03 22:15:00,AMX,861.0,76,3.7,-,2026-05-15 15:27:36.434081
2026-08-03 22:15:00,AMX,387.0,81,4.1,-,2026-05-15 15:27:36.580472
2026-08-03 22:20:00,AAL,2417.0,33,6.2,-,2026-05-15 15:27:36.732105
2026-08-03 22:20:00,VOI,110.0,24,8.0,-,2026-05-15 15:27:36.878001
2026-08-03 22:25:00,AMX,120.0,67,6.0,-,2026-05-15 15:27:37.019024
2026-08-03 22:30:00,AMX,109.0,75,12.7,-,2026-05-15 15:27:37.158121
2026-08-03 22:30:00,AMX,187.0,65,10.2,-,2026-05-15 15:27:37.301635
2026-08-03 22:30:00,AMX,561.0,68,1.7,-,2026-05-15 15:27:37.440062
2026-08-03 22:30:00,VOI,801.0,39,-2.7,-,2026-05-15 15:27:37.575909
2026-08-03 22:35:00,AMX,959.0,63,1.2,-,2026-05-15 15:27:37.759694
2026-08-03 22:35:00,AMX,471.0,60,1.2,-,2026-05-15 15:27:37.905325
2026-08-03 22:40:00,VIV,1069.0,9,0.2,-,2026-05-15 15:27:38.072677
2026-08-03 22:45:00,VOI,245.0,18,3.8,-,2026-05-15 15:27:38.204842
2026-08-03 22:45:00,VOI,391.0,2,3.9,-,2026-05-15 15:27:38.362695
2026-08-03 22:45:00,AMX,1540.0,74,9.4,-,2026-05-15 15:27:38.539525
2026-08-03 22:45:00,AMX,7.0,68,2.7,-,2026-05-15 15:27:38.695918
2026-08-03 22:50:00,AMX,367.0,84,-2.0,-,2026-05-15 15:27:38.849600
2026-08-03 22:50:00,VIV,1144.0,15,5.9,-,2026-05-15 15:27:39.038770
2026-08-03 22:50:00,AMX,167.0,89,2.5,-,2026-05-15 15:27:39.227835
2026-08-03 22:50:00,AMX,2133.0,80,0.9,-,2026-05-15 15:27:39.419981
2026-08-03 22:55:00,AVA,186.0,31,0.9,-,2026-05-15 15:27:39.581906
2026-08-03 22:55:00,AMX,2466.0,76,3.3,-,2026-05-15 15:27:39.729662
2026-08-03 22:55:00,AMX,149.0,69,7.4,-,2026-05-15 15:27:39.887523
2026-08-03 23:00:00,AMX,263.0,64,0.2,-,2026-05-15 15:27:40.054272
2026-08-03 23:05:00,AMX,841.0,78,2.4,-,2026-05-15 15:27:40.262181
2026-08-03 23:05:00,ACA,996.0,24,3.5,-,2026-05-15 15:27:40.460826
2026-08-03 23:10:00,AAL,1941.0,27,0.2,-,2026-05-15 15:27:40.592093
2026-08-03 23:10:00,AMX,375.0,87,0.2,-,2026-05-15 15:27:40.728278
2026-08-03 23:10:00,AVA,23.0,36,2.7,-,2026-05-15 15:27:40.877244
2026-08-03 23:10:00,UAL,429.0,32,2.8,-,2026-05-15 15:27:41.026812
2026-08-03 23:15:00,AMX,963.0,67,5.4,-,2026-05-15 15:27:41.180344
2026-08-03 23:15:00,AMX,715.0,76,5.1,-,2026-05-15 15:27:41.322183
2026-08-03 23:30:00,VIV,1025.0,17,10.5,-,2026-05-15 15:27:41.472637
2026-08-03 23:30:00,VIV,1070.0,9,7.9,-,2026-05-15 15:27:41.604863
2026-08-03 23:35:00,VOI,147.0,13,6.2,-,2026-05-15 15:27:41.745050
2026-08-03 23:40:00,VOI,105.0,S4,4.9,-,2026-05-15 15:27:41.909702
2026-08-03 23:40:00,VIV,1109.0,8,9.5,-,2026-05-15 15:27:42.075818
2026-08-03 23:45:00,VOI,5616.0,4,4.0,-,2026-05-15 15:27:42.237953
2026-08-03 23:45:00,VOI,381.0,16,5.3,-,2026-05-15 15:27:42.393205
2026-08-03 23:45:00,FLE,2820.0,26,17.0,G1,2026-05-15 15:27:42.542921
2026-08-03 23:45:00,VIV,1189.0,10,-0.1,-,2026-05-15 15:27:42.706027
2026-08-03 23:50:00,ACA,993.0,41,1.0,-,2026-05-15 15:27:42.862608
2026-08-03 23:55:00,AMX,189.0,78,4.2,-,2026-05-15 15:27:43.033375
2026-08-03 23:55:00,AMX,643.0,61,-0.8,-,2026-05-15 15:27:43.223569
2026-08-03 23:55:00,VIV,1255.0,5,-0.5,-,2026-05-15 15:27:43.437686
2026-09-01 00:00:00,ACA,995.0,33,8.5,-,2026-05-15 15:27:43.649581
2026-09-01 00:05:00,VOI,713.0,36,13.3,-,2026-05-15 15:27:43.877843
2026-09-01 00:05:00,VIV,1229.0,8,0.1,-,2026-05-15 15:27:44.152628
2026-09-01 00:05:00,VIV,1287.0,6,5.5,-,2026-05-15 15:27:44.323079
2026-09-01 00:05:00,CSN,8031.0,25,17.7,G1,2026-05-15 15:27:44.508902
2026-09-01 00:05:00,IBE,312.0,24,13.6,-,2026-05-15 15:27:44.690513
2026-09-01 00:05:00,ACA,996.0,28,7.5,-,2026-05-15 15:27:44.881502
2026-09-01 00:10:00,VIV,1359.0,5,16.9,G1,2026-05-15 15:27:45.068410
2026-09-01 00:10:00,UAL,429.0,34,6.4,-,2026-05-15 15:27:45.257511
2026-09-01 00:10:00,AMX,9446.0,67,10.0,-,2026-05-15 15:27:45.444051
2026-09-01 00:10:00,AAL,1941.0,29,9.1,-,2026-05-15 15:27:45.633253
2026-09-01 00:15:00,CMP,194.0,23,5.0,-,2026-05-15 15:27:45.826300
2026-09-01 00:25:00,AAL,2996.0,36,8.1,-,2026-05-15 15:27:46.036309
2026-09-01 00:30:00,AMX,692.0,53,-0.4,-,2026-05-15 15:27:46.217411
2026-09-01 00:40:00,AVA,187.0,32,-0.4,-,2026-05-15 15:27:46.439462
2026-09-01 00:40:00,VOI,700.0,27,8.6,-,2026-05-15 15:27:46.600064
2026-09-01 00:45:00,FLE,2627.0,26,1.9,-,2026-05-15 15:27:46.785367
2026-09-01 00:50:00,AMX,717.0,62,0.2,-,2026-05-15 15:27:46.981607
2026-09-01 01:00:00,AMX,654.0,52,10.6,-,2026-05-15 15:27:47.190632
2026-09-01 01:00:00,CMP,858.0,27,8.1,-,2026-05-15 15:27:47.400177
2026-09-01 01:00:00,VIV,1039.0,11,3.0,-,2026-05-15 15:27:47.587215
2026-09-01 01:00:00,VOI,411.0,4,3.4,-,2026-05-15 15:27:47.787096
2026-09-01 01:05:00,ACA,992.0,33,3.5,-,2026-05-15 15:27:47.973161
2026-09-01 01:05:00,AMX,680.0,61,15.8,G1,2026-05-15 15:27:48.122882
2026-09-01 01:05:00,AMX,694.0,57,2.6,-,2026-05-15 15:27:48.274451
2026-09-01 01:10:00,VOI,431.0,13,4.0,-,2026-05-15 15:27:48.428315
2026-09-01 01:20:00,CMP,149.0,35,7.8,-,2026-05-15 15:27:48.653676
2026-09-01 01:30:00,CHH,7925.0,24,5.7,-,2026-05-15 15:27:48.846584
2026-09-01 01:35:00,VOI,261.0,16,-1.1,-,2026-05-15 15:27:49.034908
2026-09-01 01:45:00,CSN,8032.0,25,5.2,-,2026-05-15 15:27:49.186317
2026-09-01 01:55:00,AVA,234.0,32,2.4,-,2026-05-15 15:27:49.352745
2026-09-01 02:00:00,CMP,857.0,27,1.4,-,2026-05-15 15:27:49.495184
2026-09-01 02:35:00,VOI,811.0,25,6.7,-,2026-05-15 15:27:49.660851
2026-09-01 02:45:00,VOI,185.0,26,2.4,-,2026-05-15 15:27:49.819316
2026-09-01 03:00:00,AVA,44.0,36,-0.3,-,2026-05-15 15:27:49.988120
2026-09-01 03:20:00,AMX,26.0,67,-0.2,-,2026-05-15 15:27:50.163810
2026-09-01 03:20:00,VOI,771.0,27,-0.7,-,2026-05-15 15:27:50.310079
2026-09-01 03:30:00,VOI,9759.0,10,-0.7,-,2026-05-15 15:27:50.448338
2026-09-01 03:45:00,VOI,5777.0,11,-2.1,-,2026-05-15 15:27:50.616359
2026-09-01 04:15:00,AMX,19.0,52,-2.2,-,2026-05-15 15:27:50.761931
2026-09-01 04:25:00,VOI,9758.0,2,-4.7,-,2026-05-15 15:27:50.943273
2026-09-01 04:25:00,VOI,5776.0,10,0.1,-,2026-05-15 15:27:51.092029
2026-09-01 04:35:00,AMX,8.0,57A,-1.9,-,2026-05-15 15:27:51.266979
2026-09-01 04:50:00,AMX,619.0,53,-8.7,-,2026-05-15 15:27:51.428921
2026-09-01 04:55:00,CHH,7926.0,24,-1.5,-,2026-05-15 15:27:51.583621
2026-09-01 05:00:00,AMX,189.0,65,-0.1,-,2026-05-15 15:27:51.747413
2026-09-01 05:00:00,AMX,665.0,60,-3.0,-,2026-05-15 15:27:51.911485
2026-09-01 05:00:00,AVA,235.0,32,-3.4,-,2026-05-15 15:27:52.070707
2026-09-01 05:00:00,AVA,45.0,36,-4.3,-,2026-05-15 15:27:52.226124
2026-09-01 05:00:00,VIV,1232.0,3,-2.9,-,2026-05-15 15:27:52.382587
2026-09-01 05:00:00,VOI,325.0,2,6.4,-,2026-05-15 15:27:52.529779
2026-09-01 05:05:00,UAL,412.0,31,6.4,-,2026-05-15 15:27:52.706595
2026-09-01 05:05:00,UAL,822.0,31,0.7,-,2026-05-15 15:27:52.857924
2026-09-01 05:05:00,VIV,1251.0,10,-3.5,-,2026-05-15 15:27:53.028429
2026-09-01 05:10:00,IBE,303.0,25,-2.5,-,2026-05-15 15:27:53.259843
2026-09-01 05:15:00,VIV,147.0,24,-6.2,-,2026-05-15 15:27:53.434066
2026-09-01 05:20:00,VOI,480.0,9,2.5,-,2026-05-15 15:27:53.596130
2026-09-01 05:20:00,AMX,689.0,56,0.1,-,2026-05-15 15:27:53.757282
2026-09-01 05:20:00,AMX,22.0,68,-1.1,-,2026-05-15 15:27:53.917450
2026-09-01 05:25:00,VOI,711.0,32,0.6,-,2026-05-15 15:27:54.098640
2026-09-01 05:30:00,AMX,709.0,55,1.9,-,2026-05-15 15:27:54.270160
2026-09-01 05:30:00,VOI,180.0,22,3.0,-,2026-05-15 15:27:54.410332
2026-09-01 05:35:00,AMX,799.0,59,7.4,-,2026-05-15 15:27:54.555541
2026-09-01 05:35:00,VIV,1120.0,8,0.4,-,2026-05-15 15:27:54.700930
2026-09-01 05:35:00,VIV,1249.0,8,4.6,-,2026-05-15 15:27:54.881792
2026-09-01 05:45:00,VIV,1268.0,S2,4.5,-,2026-05-15 15:27:55.023711
2026-09-01 05:45:00,VOI,111.0,26,5.0,-,2026-05-15 15:27:55.196773
2026-09-01 05:45:00,UAL,1085.0,34,2.6,-,2026-05-15 15:27:55.347226
2026-09-01 05:50:00,AAL,1963.0,35,7.6,-,2026-05-15 15:27:55.514230
2026-09-01 05:50:00,AMX,191.0,48,6.3,-,2026-05-15 15:27:55.675425
2026-09-01 05:50:00,AMX,2062.0,80,7.1,-,2026-05-15 15:27:55.839192
2026-09-01 05:55:00,VOI,460.0,S4,1.1,-,2026-05-15 15:27:56.004796
2026-09-01 05:55:00,VOI,220.0,13,3.1,-,2026-05-15 15:27:56.160310
2026-09-01 05:55:00,AMX,195.0,63,1.5,-,2026-05-15 15:27:56.316269
2026-09-01 05:55:00,ACA,994.0,28,1.2,-,2026-05-15 15:27:56.474117
2026-09-01 05:55:00,CMP,195.0,30,2.4,-,2026-05-15 15:27:56.614308
2026-09-01 06:00:00,AMX,200.0,52,4.8,-,2026-05-15 15:27:56.763967
2026-09-01 06:00:00,AAL,1066.0,29,0.9,-,2026-05-15 15:27:56.919062
2026-09-01 06:00:00,AMX,1044.0,75,6.4,-,2026-05-15 15:27:57.074554
2026-09-01 06:00:00,AMX,362.0,60,3.3,-,2026-05-15 15:27:57.244937
